id_despesa,id_deputado,nome_deputado,sigla_partido,sigla_uf,ano,mes,tipo_despesa,cod_documento,tipo_documento,cod_tipo_documento,data_documento,num_documento,valor_documento,valor_glosa,valor_liquido,nome_fornecedor,cnpj_cpf_fornecedor,url_documento
e62ff0b9adee4bd28f064ef2954d42f8,62881,Danilo Forte,PP,CE,2026,5,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8111040.0,Nota Fiscal,0,2026-05-14,215133592,1630.37,0.0,1630.37,COMPANHIA ENERGÉTICA DO CEARÁ,7047251000170.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2227/2026/8111040.pdf
2338cb5547026c1465a7049ed55839ef,62881,Danilo Forte,PP,CE,2026,5,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8116383.0,Recibos/Outros,1,2026-06-10,S/Nº,6500.0,0.0,6500.0,DOMINGOS SÁVIO ARAÚJO CARVALHO,34676961391.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2227/2026/8116383.pdf
dc3219e471e7f490220b54eb2d54a512,62881,Danilo Forte,PP,CE,2026,5,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8116360.0,Nota Fiscal,0,2026-06-01,233,3808.12,0.0,3808.12,KANTOBYTE SOLUÇÕES E TECNOLOGIA,29458824000191.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2227/2026/8116360.pdf
a7d7c38049c9e42c10b8a7b78ddef442,62881,Danilo Forte,PP,CE,2026,5,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8112664.0,Nota Fiscal,0,2026-05-15,1071,500.0,0.0,500.0,Parlanet Web e Tecnologia Eireli,31602730000196.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2227/2026/8112664.pdf
1f0f8b2f85edf36fa80f5efa8b44e1c5,62881,Danilo Forte,PP,CE,2026,5,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8119489.0,Nota Fiscal,0,2026-05-27,6800667,576.0,0.0,576.0,STARLINK BRAZIL SERVIÇOS DE INTERNET LTDA,40154884000153.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2227/2026/8119489.pdf
e4c530a85171dbc8490dfaa087604dd0,62881,Danilo Forte,PP,CE,2026,5,COMBUSTÍVEIS E LUBRIFICANTES.,8114264.0,Nota Fiscal Eletrônica,4,2026-05-04,731381,160.02,0.0,160.02,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,306597006308.0,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8114264
ba62085571159abd747cf469bf09a3e7,62881,Danilo Forte,PP,CE,2026,5,COMBUSTÍVEIS E LUBRIFICANTES.,8114340.0,Nota Fiscal Eletrônica,4,2026-05-19,64407,180.16,0.0,180.16,AUTO POSTO GOLDEN GAS 202 LTDA,30880112000145.0,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8114340
54efd939dba75fe89feedbc4243e395c,62881,Danilo Forte,PP,CE,2026,5,COMBUSTÍVEIS E LUBRIFICANTES.,8114356.0,Nota Fiscal Eletrônica,4,2026-05-27,74240,170.0,0.0,170.0,AUTO POSTO GOLDEN GAS 202 LTDA,30880112000145.0,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8114356
2bd8a7d0b4fba486b5aa99c13b9b4c79,62881,Danilo Forte,PP,CE,2026,5,COMBUSTÍVEIS E LUBRIFICANTES.,8107286.0,Nota Fiscal,0,2026-05-23,12954,200.0,0.0,200.0,JP COMERCIO DE COMBUTIVEIS E LUBRIFICANTES LDTA,5352158000306.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2227/2026/8107286.pdf
4303b225510ea0f9765af04a2e57d95c,62881,Danilo Forte,PP,CE,2026,5,COMBUSTÍVEIS E LUBRIFICANTES.,8107271.0,Nota Fiscal,0,2026-05-25,13807,90.6,0.0,90.6,JP COMERCIO DE COMBUTIVEIS E LUBRIFICANTES LDTA,5352158000306.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2227/2026/8107271.pdf
7d7d28b399f8e0437890fab660988209,62881,Danilo Forte,PP,CE,2026,5,COMBUSTÍVEIS E LUBRIFICANTES.,8098152.0,Nota Fiscal,0,2026-05-08,33595,80.01,0.0,80.01,POSTO ITAJAVE LTDA,2439720000183.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2227/2026/8098152.pdf
fd8ad08c6403521b4b10feab465afa7c,62881,Danilo Forte,PP,CE,2026,5,COMBUSTÍVEIS E LUBRIFICANTES.,8113944.0,Nota Fiscal,0,2026-05-29,18928,535.03,0.0,535.03,POSTO MIRANTE,15555033000175.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2227/2026/8113944.pdf
